"ticketDate","amount"
"2019-01-01 01:09:00",15.48
"2019-01-01 01:18:00",16.5
"2019-01-01 01:21:00",24.18
"2019-01-01 01:23:00",12.98
"2019-01-01 02:54:00",25.95
"2019-01-01 07:59:00",21.14
"2019-01-01 08:05:00",81.28
"2019-01-01 08:09:00",49.72
"2019-01-01 08:13:00",160.55
"2019-01-01 08:24:00",3.82
"2019-01-01 08:26:00",53.2
"2019-01-01 08:31:00",54.38
"2019-01-01 08:48:00",42.85
"2019-01-01 08:58:00",31.1
"2019-01-01 09:09:00",49.3
"2019-01-01 09:16:00",40.42
"2019-01-01 09:18:00",82.2
"2019-01-01 09:27:00",13.27
"2019-01-01 09:50:00",105.95
"2019-01-01 09:52:00",50.48
"2019-01-01 09:54:00",58.98
"2019-01-01 10:04:00",5.66
"2019-01-01 10:07:00",76.62
"2019-01-01 10:12:00",109.33
"2019-01-01 10:13:00",80.93
"2019-01-01 10:17:00",116.88
"2019-01-01 10:21:00",76.06
"2019-01-01 10:28:00",29.05
"2019-01-01 10:30:00",27.04
"2019-01-01 10:34:00",79.66
"2019-01-01 10:38:00",85.7
"2019-01-01 10:40:00",14.52
"2019-01-01 10:47:00",37.66
"2019-01-01 10:48:00",123.25
"2019-01-01 10:51:00",84.75
"2019-01-01 10:54:00",51.49
"2019-01-01 10:57:00",21.93
"2019-01-01 11:07:00",33.02
"2019-01-01 11:12:00",44.43
"2019-01-01 11:14:00",71.87
"2019-01-01 11:16:00",86.94
"2019-01-01 11:20:00",136.01
"2019-01-01 11:22:00",59.85
"2019-01-01 11:28:00",111.76
"2019-01-01 11:29:00",57.25
"2019-01-01 11:32:00",59.98
"2019-01-01 11:37:00",94.47
"2019-01-01 11:41:00",36.18
"2019-01-01 11:43:00",77.65
"2019-01-01 11:48:00",73.8
"2019-01-01 11:51:00",33.58
"2019-01-01 12:02:00",75.46
"2019-01-01 12:06:00",112.09
"2019-01-01 12:08:00",34.15
"2019-01-01 12:11:00",46.92
"2019-01-01 12:13:00",37.05
"2019-01-01 12:15:00",96.98
"2019-01-01 12:22:00",64.47
"2019-01-01 12:23:00",79.19
"2019-01-01 12:27:00",156.73
"2019-01-01 12:31:00",21.26
"2019-01-01 12:33:00",43.94
"2019-01-01 12:40:00",80.82
"2019-01-01 12:41:00",90.55
"2019-01-01 12:44:00",179.19
"2019-01-01 12:47:00",110.53
"2019-01-01 12:49:00",100.9
"2019-01-01 12:51:00",62.74
"2019-01-01 12:54:00",82.13
"2019-01-01 13:01:00",41.39
"2019-01-01 13:02:00",16.44
"2019-01-01 13:03:00",45.72
"2019-01-01 13:08:00",20.86
"2019-01-01 13:09:00",79.35
"2019-01-01 13:10:00",90.78
"2019-01-01 13:12:00",94.54
"2019-01-01 13:14:00",71.44
"2019-01-01 13:21:00",13.07
"2019-01-01 13:29:00",54.51
"2019-01-01 13:34:00",34.52
"2019-01-01 13:39:00",89.07
"2019-01-01 13:41:00",72.67
"2019-01-01 13:44:00",60.47
"2019-01-01 13:52:00",71.05
"2019-01-01 13:55:00",150.72
"2019-01-01 14:02:00",121.26
"2019-01-01 14:03:00",11.49
"2019-01-01 14:06:00",100.78
"2019-01-01 14:08:00",77.94
"2019-01-01 14:12:00",144.09
"2019-01-01 14:14:00",0.38
"2019-01-01 14:17:00",69.34
"2019-01-01 14:19:00",5.09
"2019-01-01 14:22:00",42.21
"2019-01-01 14:23:00",0.39
"2019-01-01 14:24:00",49.04
"2019-01-01 14:26:00",75.92
"2019-01-01 14:29:00",4.19
"2019-01-01 14:32:00",50.17
"2019-01-01 14:36:00",51.83
"2019-01-01 14:45:00",21.19
"2019-01-01 14:46:00",68.87
"2019-01-01 14:50:00",111.19
"2019-01-01 14:52:00",0.17
"2019-01-01 14:55:00",65.44
"2019-01-01 15:07:00",35.12
"2019-01-01 15:11:00",31.3
"2019-01-01 15:13:00",43.39
"2019-01-01 15:14:00",99.18
"2019-01-01 15:16:00",80.68
"2019-01-01 15:19:00",42.86
"2019-01-01 15:22:00",23.19
