"ticketDate","amount"
"2019-12-15 00:10:00",22.47
"2019-12-15 00:24:00",16.3
"2019-12-15 00:51:00",27.26
"2019-12-15 01:06:00",18.62
"2019-12-15 02:50:00",15.65
"2019-12-15 03:03:00",18.54
"2019-12-15 03:27:00",20.7
"2019-12-15 03:54:00",21.94
"2019-12-15 04:37:00",15.03
"2019-12-15 04:46:00",20.85
"2019-12-15 04:48:00",24.2
"2019-12-15 04:53:00",28.21
"2019-12-15 05:28:00",21.24
"2019-12-15 05:52:00",19.38
"2019-12-15 06:05:00",28.98
"2019-12-15 06:26:00",22.9
"2019-12-15 06:32:00",19.64
"2019-12-15 06:36:00",22.51
"2019-12-15 06:43:00",22.4
"2019-12-15 06:47:00",19.84
"2019-12-15 06:56:00",21.36
"2019-12-15 07:03:00",12.84
"2019-12-15 07:06:00",28.13
"2019-12-15 07:16:00",21.94
"2019-12-15 07:18:00",32.61
"2019-12-15 07:23:00",14.71
"2019-12-15 07:31:00",16.53
"2019-12-15 07:37:00",14.63
"2019-12-15 07:53:00",21.79
"2019-12-15 08:01:00",39.7
"2019-12-15 08:05:00",2.29
"2019-12-15 08:23:00",15.56
"2019-12-15 08:28:00",18.23
"2019-12-15 08:29:00",19.25
"2019-12-15 08:35:00",59.86
"2019-12-15 08:44:00",11.26
"2019-12-15 08:47:00",33.67
"2019-12-15 08:48:00",3.8
"2019-12-15 09:01:00",6.6
"2019-12-15 09:03:00",5.62
"2019-12-15 09:04:00",13.99
"2019-12-15 09:13:00",4.26
"2019-12-15 09:15:00",11.17
"2019-12-15 09:17:00",14.69
"2019-12-15 09:18:00",12.86
"2019-12-15 09:22:00",19.05
"2019-12-15 09:31:00",3.85
"2019-12-15 09:33:00",12.9
"2019-12-15 09:40:00",4.21
"2019-12-15 09:44:00",21.89
"2019-12-15 09:48:00",13.24
"2019-12-15 09:56:00",23.9
"2019-12-15 09:57:00",43.62
"2019-12-15 09:58:00",9.62
"2019-12-15 09:59:00",9.54
"2019-12-15 10:00:00",19.02
"2019-12-15 10:02:00",13.97
"2019-12-15 10:06:00",4.44
"2019-12-15 10:25:00",29.69
"2019-12-15 10:30:00",7.42
"2019-12-15 10:32:00",7.1
"2019-12-15 10:36:00",21.51
"2019-12-15 10:38:00",11.85
"2019-12-15 10:40:00",25.4
"2019-12-15 10:44:00",28.69
"2019-12-15 10:52:00",24.43
"2019-12-15 10:54:00",20.06
"2019-12-15 10:56:00",13.13
"2019-12-15 11:12:00",11.94
"2019-12-15 11:15:00",20.46
"2019-12-15 11:18:00",24.21
"2019-12-15 11:34:00",33.3
"2019-12-15 11:36:00",14.47
"2019-12-15 11:38:00",38.83
"2019-12-15 11:41:00",37.88
"2019-12-15 11:42:00",1.72
"2019-12-15 11:43:00",13.8
"2019-12-15 11:53:00",12.29
"2019-12-15 11:56:00",32.88
"2019-12-15 11:59:00",27.3
"2019-12-15 12:02:00",53.62
"2019-12-15 12:18:00",16.51
"2019-12-15 12:25:00",0.92
"2019-12-15 12:26:00",11.87
"2019-12-15 12:30:00",6.88
"2019-12-15 12:31:00",18.88
"2019-12-15 12:32:00",31.65
"2019-12-15 12:34:00",27.77
"2019-12-15 12:37:00",14.07
"2019-12-15 12:38:00",30.07
"2019-12-15 12:43:00",4.97
"2019-12-15 12:47:00",9.06
"2019-12-15 12:48:00",20.47
"2019-12-15 12:52:00",5.7
"2019-12-15 12:55:00",14.85
"2019-12-15 13:02:00",0.08
"2019-12-15 13:03:00",14.12
"2019-12-15 13:06:00",12.9
"2019-12-15 13:12:00",13.11
"2019-12-15 13:27:00",1.79
"2019-12-15 13:39:00",28.67
"2019-12-15 13:41:00",34.42
"2019-12-15 13:45:00",9.5
"2019-12-15 13:49:00",14.43
"2019-12-15 13:53:00",25.74
"2019-12-15 13:54:00",6.36
"2019-12-15 14:07:00",51.09
"2019-12-15 14:09:00",1.93
"2019-12-15 14:13:00",11.25
"2019-12-15 14:21:00",30.7
"2019-12-15 14:22:00",20.15
"2019-12-15 14:23:00",3.14
"2019-12-15 14:24:00",12.3
