"ticketDate","amount"
"2019-12-15 00:40:00",19.44
"2019-12-15 00:42:00",24.66
"2019-12-15 01:52:00",28.75
"2019-12-15 02:02:00",27.36
"2019-12-15 02:25:00",24.15
"2019-12-15 02:59:00",26.56
"2019-12-15 03:11:00",17.75
"2019-12-15 03:35:00",20.77
"2019-12-15 03:52:00",22.47
"2019-12-15 03:57:00",6.02
"2019-12-15 04:02:00",17.62
"2019-12-15 04:23:00",20.79
"2019-12-15 04:29:00",16.79
"2019-12-15 04:30:00",21.82
"2019-12-15 04:50:00",26.49
"2019-12-15 05:01:00",26.12
"2019-12-15 05:26:00",22.33
"2019-12-15 05:31:00",17.36
"2019-12-15 05:33:00",25.8
"2019-12-15 05:39:00",17.58
"2019-12-15 05:52:00",21.36
"2019-12-15 06:01:00",13.27
"2019-12-15 06:02:00",29.91
"2019-12-15 06:17:00",29.37
"2019-12-15 06:25:00",13.68
"2019-12-15 06:30:00",19.22
"2019-12-15 06:36:00",15.65
"2019-12-15 06:56:00",20.71
"2019-12-15 07:09:00",16.66
"2019-12-15 07:12:00",17.23
"2019-12-15 07:19:00",14.95
"2019-12-15 07:28:00",19.14
"2019-12-15 07:38:00",17.93
"2019-12-15 07:41:00",29.88
"2019-12-15 07:47:00",15.48
"2019-12-15 07:52:00",28.02
"2019-12-15 07:54:00",20.54
"2019-12-15 08:33:00",31.74
"2019-12-15 08:35:00",44.8
"2019-12-15 08:47:00",56.28
"2019-12-15 08:51:00",11.12
"2019-12-15 08:56:00",12.71
"2019-12-15 09:07:00",9.73
"2019-12-15 09:11:00",30.01
"2019-12-15 09:12:00",32.52
"2019-12-15 09:13:00",21.48
"2019-12-15 09:16:00",1.3
"2019-12-15 09:19:00",7.64
"2019-12-15 09:20:00",6.63
"2019-12-15 09:30:00",9.29
"2019-12-15 09:34:00",25.88
"2019-12-15 09:46:00",2.22
"2019-12-15 09:50:00",35.82
"2019-12-15 09:54:00",25.84
"2019-12-15 10:01:00",4.17
"2019-12-15 10:07:00",28.37
"2019-12-15 10:13:00",22.71
"2019-12-15 10:16:00",9.72
"2019-12-15 10:32:00",6.04
"2019-12-15 10:33:00",26.8
"2019-12-15 10:45:00",5.04
"2019-12-15 10:52:00",21.11
"2019-12-15 10:56:00",8.32
"2019-12-15 10:57:00",12.22
"2019-12-15 11:03:00",3.09
"2019-12-15 11:11:00",13.98
"2019-12-15 11:13:00",33.15
"2019-12-15 11:19:00",12.71
"2019-12-15 11:23:00",3.58
"2019-12-15 11:25:00",4.69
"2019-12-15 11:26:00",5.56
"2019-12-15 11:31:00",11.58
"2019-12-15 11:32:00",20.3
"2019-12-15 11:33:00",9.52
"2019-12-15 11:34:00",30.58
"2019-12-15 11:35:00",16.7
"2019-12-15 11:36:00",11.45
"2019-12-15 11:37:00",5.86
"2019-12-15 11:41:00",17.24
"2019-12-15 11:55:00",39.89
"2019-12-15 11:58:00",3.04
"2019-12-15 12:05:00",22.6
"2019-12-15 12:06:00",21.33
"2019-12-15 12:25:00",21.76
"2019-12-15 12:26:00",18.85
"2019-12-15 12:35:00",13.68
"2019-12-15 12:37:00",16.18
"2019-12-15 12:39:00",10.44
"2019-12-15 13:03:00",23.24
"2019-12-15 13:11:00",28.47
"2019-12-15 13:14:00",6.28
"2019-12-15 13:17:00",14.58
"2019-12-15 13:26:00",3.51
"2019-12-15 13:28:00",25.13
"2019-12-15 13:31:00",17.26
"2019-12-15 13:39:00",15.43
"2019-12-15 13:42:00",1.62
"2019-12-15 13:57:00",9.19
"2019-12-15 14:04:00",9.06
"2019-12-15 14:09:00",7.89
"2019-12-15 14:15:00",7.46
"2019-12-15 14:20:00",14.99
"2019-12-15 14:25:00",11.85
"2019-12-15 14:29:00",20.75
"2019-12-15 14:30:00",59.14
"2019-12-15 14:31:00",9.95
"2019-12-15 14:33:00",9.59
"2019-12-15 14:36:00",11.55
"2019-12-15 14:37:00",18.71
"2019-12-15 14:41:00",2.94
"2019-12-15 14:49:00",4.61
"2019-12-15 14:50:00",1.93
"2019-12-15 14:52:00",8.79
"2019-12-15 14:53:00",3.1
"2019-12-15 14:54:00",1.44
"2019-12-15 14:57:00",2.07
"2019-12-15 15:07:00",9.47
"2019-12-15 15:08:00",25.52
"2019-12-15 15:10:00",4.93
"2019-12-15 15:15:00",14.73
"2019-12-15 15:16:00",15.1
"2019-12-15 15:21:00",17.71
"2019-12-15 15:24:00",10.93
"2019-12-15 15:44:00",10.41
"2019-12-15 15:46:00",6.65
"2019-12-15 15:49:00",0.76
"2019-12-15 15:51:00",22.29
"2019-12-15 16:07:00",20.91
"2019-12-15 16:14:00",14.49
"2019-12-15 16:18:00",40.1
"2019-12-15 16:19:00",20.29
"2019-12-15 16:21:00",53.31
"2019-12-15 16:22:00",24.5
"2019-12-15 16:23:00",12.62
"2019-12-15 16:26:00",14.15
"2019-12-15 16:27:00",9.49
"2019-12-15 16:29:00",12.18
"2019-12-15 16:36:00",32.67
"2019-12-15 16:42:00",22.56
"2019-12-15 16:48:00",17.92
"2019-12-15 17:01:00",14.33
"2019-12-15 17:03:00",44.51
"2019-12-15 17:16:00",38.2
