"ticketDate","amount"
"2018-01-01 00:04:00",24.51
"2018-01-01 00:26:00",17.12
"2018-01-01 00:28:00",17.29
"2018-01-01 00:33:00",15.82
"2018-01-01 00:37:00",18.1
"2018-01-01 00:47:00",23.34
"2018-01-01 00:54:00",21.6
"2018-01-01 00:55:00",19.56
"2018-01-01 01:07:00",18.16
"2018-01-01 01:11:00",25.6
"2018-01-01 01:14:00",24.89
"2018-01-01 01:16:00",18.23
"2018-01-01 01:24:00",12.92
"2018-01-01 01:34:00",21.67
"2018-01-01 01:44:00",21.75
"2018-01-01 01:49:00",25.69
"2018-01-01 01:57:00",22.48
"2018-01-01 02:01:00",11.27
"2018-01-01 02:04:00",21.5
"2018-01-01 02:11:00",14.77
"2018-01-01 02:53:00",13.34
"2018-01-01 04:37:00",15.59
"2018-01-01 04:60:00",31.86
"2018-01-01 06:25:00",22.85
"2018-01-01 07:10:00",23.99
"2018-01-01 07:16:00",17.78
"2018-01-01 07:28:00",19.7
"2018-01-01 08:27:00",37.6
"2018-01-01 08:36:00",78.06
"2018-01-01 08:41:00",32.15
"2018-01-01 08:60:00",160.36
"2018-01-01 09:05:00",9.38
"2018-01-01 09:17:00",40.53
"2018-01-01 09:22:00",29.83
"2018-01-01 09:27:00",18.94
"2018-01-01 09:33:00",25.46
"2018-01-01 09:36:00",28.96
"2018-01-01 09:37:00",9.04
"2018-01-01 09:46:00",54.1
"2018-01-01 09:60:00",8.21
"2018-01-01 10:10:00",6.79
"2018-01-01 10:17:00",63.31
"2018-01-01 10:31:00",52.25
"2018-01-01 10:36:00",25.97
"2018-01-01 10:37:00",90.48
"2018-01-01 10:40:00",42.96
"2018-01-01 10:43:00",48.53
"2018-01-01 11:00:00",14.28
"2018-01-01 11:11:00",23.62
"2018-01-01 11:16:00",37.38
"2018-01-01 11:28:00",169.23
"2018-01-01 11:31:00",19.94
"2018-01-01 11:39:00",12.64
"2018-01-01 11:48:00",63.86
"2018-01-01 11:49:00",103.85
"2018-01-01 11:50:00",48.42
"2018-01-01 11:59:00",76.82
"2018-01-01 11:60:00",89.27
"2018-01-01 12:00:00",77.91
"2018-01-01 12:01:00",7.68
"2018-01-01 12:15:00",120.95
"2018-01-01 12:16:00",13.13
"2018-01-01 12:17:00",32.97
"2018-01-01 12:18:00",91.73
"2018-01-01 12:23:00",29.02
"2018-01-01 12:24:00",46.99
"2018-01-01 12:25:00",5.94
"2018-01-01 12:27:00",25.4
